label,id,title,sentences,words
1,0,[黑特] 無恥的蔡英文,無恥的蔡英文信用跳票得亂七八糟的她
1,1,[黑特] 無恥的蔡英文,只剩下鬼才會再信她的鬼話
1,2,[黑特] 無恥的蔡英文,我很久沒開罵了
1,3,[黑特] 無恥的蔡英文,只因為民進黨皮在癢
1,4,[黑特] 無恥的蔡英文,就是欠罵所以我隨便找了篇新聞開幹
1,5,[黑特] 無恥的蔡英文,為何民進黨欠幹
1,6,[黑特] 無恥的蔡英文,因為我臉書主帳號又被禁言了
1,7,[黑特] 無恥的蔡英文,他馬的咧這些臉書小綠鬼管理員
1,8,[黑特] 無恥的蔡英文,幹老子我已經很久沒有痛罵民進黨了
1,9,[黑特] 無恥的蔡英文,我扯遠了臉書關民進黨屁事
1,10,[黑特] 無恥的蔡英文,君不知臉書是民進黨的附隨組織
1,11,[黑特] 無恥的蔡英文,側翼團體早已被綠營收編了
1,12,[黑特] 無恥的蔡英文,經常性見到打壓言論自由
1,13,[黑特] 無恥的蔡英文,罵到民進黨者常被禁言
1,14,[黑特] 無恥的蔡英文,我被禁言已達數十次囉
1,15,[黑特] 無恥的蔡英文,加上日前蔡英文到臉書台灣總部去
1,16,[黑特] 無恥的蔡英文,參觀訪問戰術指導犒勞有功綠蟲深研滅敵計畫
1,17,[黑特] 無恥的蔡英文,用屁眼想也知道
1,18,[黑特] 無恥的蔡英文,一個民間企業你總統親自去幹嘛
1,19,[黑特] 無恥的蔡英文,幹狼狽為奸臉書好屌
1,20,[黑特] 無恥的蔡英文,我臉書的備用帳號也被同步禁言
1,21,[黑特] 無恥的蔡英文,天羅地網兩面夾殺
1,22,[黑特] 無恥的蔡英文,看來我只有兩個帳號還不夠用
1,23,[黑特] 無恥的蔡英文,逼我學狡兔有三窟
1,24,[黑特] 無恥的蔡英文,綠鬼無所不用其極
1,25,[黑特] 無恥的蔡英文,全面性封堵反民進黨者
1,26,[黑特] 無恥的蔡英文,於是乎我又建了一個新帳號
1,27,[黑特] 無恥的蔡英文,本文就是用新帳號發文的
1,28,[黑特] 無恥的蔡英文,本文開始蔡英文向癮君子失禮歹勢推長照將開徵菸捐多20元043400951
1,29,[黑特] 無恥的蔡英文,殺了人才說失禮歹勢有用嗎
1,30,[黑特] 無恥的蔡英文,健康捐暴漲卻大多被挪為他用
1,31,[黑特] 無恥的蔡英文,多少單位因此多了一筆額外的零用金
1,32,[黑特] 無恥的蔡英文,多爽阿爽爽花美其名是長照
1,33,[黑特] 無恥的蔡英文,實則為變相搶劫
1,34,[黑特] 無恥的蔡英文,至於小英說下一任任期最想推動農民退休年金
1,35,[黑特] 無恥的蔡英文,別想下一任了啦
1,36,[黑特] 無恥的蔡英文,幹你這台灣第一女魔頭
1,37,[黑特] 無恥的蔡英文,還想要禍國殃民到下一任
1,38,[黑特] 無恥的蔡英文,這幾年來你把農民和消費者搞得多慘
1,39,[黑特] 無恥的蔡英文,蔬果暴漲暴跌柚子鳳梨香蕉芭樂輪流崩盤
1,40,[黑特] 無恥的蔡英文,全都拿去堆肥養豬報廢
